,2006-09-30,2007-09-29,2008-09-27,2009-09-26,2010-09-25,2011-09-24,2012-09-29,2013-09-28,2014-09-27,2015-09-26,2016-09-24,2017-09-30,2018-09-29,2019-09-28,2020-09-26,2021-09-25,2022-09-24,2023-09-30
AccountsPayableCurrent(in USD),,,5520000000.0,5601000000.0,,,,,,,,,,,,,,
AccountsReceivableNetCurrent(in USD),,,2422000000.0,3361000000.0,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent(in USD),,,3719000000.0,3376000000.0,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax(in USD),,,8000000.0,84000000.0,,,,,,,,,,,,,,
Assets(in USD),,,39572000000.0,53851000000.0,,,,,,,,,,,,,,
AssetsCurrent(in USD),,,32311000000.0,36265000000.0,,,,,,,,,,,,,,
AvailableForSaleSecuritiesCurrent(in USD),,,10236000000.0,18201000000.0,,,,,,,,,,,,,,
AvailableForSaleSecuritiesNoncurrent(in USD),,,2379000000.0,10528000000.0,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue(in USD),6392000000,9352000000,11875000000,5263000000,,,,,,,,,,,,,,
CommitmentsAndContingencies2009,,,,,,,,,,,,,,,,,,
CommonStockValue(in USD),,,7177000000.0,8210000000.0,,,,,,,,,,,,,,
DeferredRevenueCurrent(in USD),,,4853000000.0,10305000000.0,,,,,,,,,,,,,,
DeferredRevenueNoncurrent(in USD),,,3029000000.0,4485000000.0,,,,,,,,,,,,,,
DeferredTaxAssetsNetCurrent(in USD),,,1447000000.0,2101000000.0,,,,,,,,,,,,,,
Goodwill(in USD),,,207000000.0,206000000.0,,,,,,,,,,,,,,
IntangibleAssetsNetExcludingGoodwill(in USD),,,285000000.0,247000000.0,,,,,,,,,,,,,,
InventoryNet(in USD),,,509000000.0,455000000.0,,,,,,,,,,,,,,
Liabilities(in USD),,,18542000000.0,26019000000.0,,,,,,,,,,,,,,
LiabilitiesAndStockholdersEquity(in USD),,,39572000000.0,53851000000.0,,,,,,,,,,,,,,
LiabilitiesCurrent(in USD),,,14092000000.0,19282000000.0,,,,,,,,,,,,,,
OtherAssetsCurrent(in USD),,,5822000000.0,6884000000.0,,,,,,,,,,,,,,
OtherAssetsNoncurrent(in USD),,,1935000000.0,3651000000.0,,,,,,,,,,,,,,
OtherLiabilitiesNoncurrent(in USD),,,1421000000.0,2252000000.0,,,,,,,,,,,,,,
PropertyPlantAndEquipmentAndCapitalizedSoftwareNet(in USD),,,2455000000.0,2954000000.0,,,,,,,,,,,,,,
RetainedEarningsAccumulatedDeficit(in USD),,,13845000000.0,19538000000.0,,,,,,,,,,,,,,
RetainedEarningsAccumulatedDeficit(in iso4217_USD),,,,,37169000000.0,62841000000.0,101289000000.0,104256000000.0,87152000000.0,92284000000.0,,,,,,,,
StockholdersEquity(in iso4217_USD),,,,,47791000000.0,76615000000.0,118210000000.0,123549000000.0,111547000000.0,119355000000.0,,,,,,,,
AvailableForSaleSecuritiesCurrent(in iso4217_USD),,,,,,16137000000.0,18383000000.0,26287000000.0,11233000000.0,20481000000.0,,,,,,,,
AvailableForSaleSecuritiesNoncurrent(in iso4217_USD),,,,,,55618000000.0,92122000000.0,106215000000.0,130162000000.0,164065000000.0,,,,,,,,
CommitmentsAndContingencies(in iso4217_USD),,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,
PropertyPlantAndEquipmentNet(in iso4217_USD),,,,,,,15452000000.0,16597000000.0,20624000000.0,22471000000.0,,,,,,,,
LongTermDebt(in iso4217_USD),,,,,,,,16960000000.0,28987000000.0,,,,,,,,,
CommercialPaper(in iso4217_USD),,,,,,,,,6308000000.0,8499000000.0,,,,,,,,
CommonStocksIncludingAdditionalPaidInCapital(in iso4217_USD),,,,,,,,,23313000000.0,27416000000.0,,,,,,,,
LongTermDebtNoncurrent(in iso4217_USD),,,,,,,,,,53463000000.0,,,,,,,,
LongTermDebtCurrent(in iso4217_USD),,,,,,,,,,2500000000.0,,,,,,,,
DeferredTaxAssetsLiabilitiesNetCurrent(in iso4217_USD),,,,,,,,,,5546000000.0,,,,,,,,
CashAndCashEquivalentsAtCarryingValue(in usd),,,,,,,,,,,20484000000.0,20289000000.0,25913000000.0,48844000000.0,38016000000.0,34940000000.0,23646000000.0,29965000000.0
AvailableForSaleSecuritiesCurrent(in usd),,,,,,,,,,,46671000000.0,53892000000.0,40388000000.0,,,,,
AccountsReceivableNetCurrent(in usd),,,,,,,,,,,15754000000.0,17874000000.0,23186000000.0,22926000000.0,16120000000.0,26278000000.0,28184000000.0,29508000000.0
InventoryNet(in usd),,,,,,,,,,,2132000000.0,4855000000.0,3956000000.0,4106000000.0,4061000000.0,6580000000.0,4946000000.0,6331000000.0
NontradeReceivablesCurrent(in usd),,,,,,,,,,,13545000000.0,17799000000.0,25809000000.0,22878000000.0,21325000000.0,25228000000.0,32748000000.0,31477000000.0
OtherAssetsCurrent(in usd),,,,,,,,,,,8283000000.0,13936000000.0,12087000000.0,12352000000.0,11264000000.0,14111000000.0,21223000000.0,14695000000.0
AssetsCurrent(in usd),,,,,,,,,,,106869000000.0,128645000000.0,131339000000.0,162819000000.0,143713000000.0,134836000000.0,135405000000.0,143566000000.0
AvailableForSaleSecuritiesNoncurrent(in usd),,,,,,,,,,,170430000000.0,194714000000.0,170799000000.0,,,,,
PropertyPlantAndEquipmentNet(in usd),,,,,,,,,,,27010000000.0,33783000000.0,41304000000.0,37378000000.0,36766000000.0,39440000000.0,42117000000.0,43715000000.0
Goodwill(in usd),,,,,,,,,,,5414000000.0,5717000000.0,,,,,,
IntangibleAssetsNetExcludingGoodwill(in usd),,,,,,,,,,,3206000000.0,2298000000.0,,,,,,
OtherAssetsNoncurrent(in usd),,,,,,,,,,,8757000000.0,10162000000.0,22283000000.0,32978000000.0,42522000000.0,48849000000.0,54428000000.0,64758000000.0
Assets(in usd),,,,,,,,,,,321686000000.0,375319000000.0,365725000000.0,338516000000.0,323888000000.0,351002000000.0,352755000000.0,352583000000.0
AccountsPayableCurrent(in usd),,,,,,,,,,,37294000000.0,49049000000.0,55888000000.0,46236000000.0,42296000000.0,54763000000.0,64115000000.0,62611000000.0
AccruedLiabilitiesCurrent(in usd),,,,,,,,,,,22027000000.0,25744000000.0,,,,,,
DeferredRevenueCurrent(in usd),,,,,,,,,,,8080000000.0,7548000000.0,7543000000.0,,,,,
CommercialPaper(in usd),,,,,,,,,,,8100000000.0,11977000000.0,11964000000.0,5980000000.0,4996000000.0,6000000000.0,9982000000.0,5985000000.0
LongTermDebtCurrent(in usd),,,,,,,,,,,3500000000.0,6496000000.0,8784000000.0,10260000000.0,8773000000.0,9613000000.0,11128000000.0,9822000000.0
LiabilitiesCurrent(in usd),,,,,,,,,,,79006000000.0,100814000000.0,116866000000.0,105718000000.0,105392000000.0,125481000000.0,153982000000.0,145308000000.0
DeferredRevenueNoncurrent(in usd),,,,,,,,,,,2930000000.0,2836000000.0,2797000000.0,,,,,
LongTermDebtNoncurrent(in usd),,,,,,,,,,,75427000000.0,97207000000.0,93735000000.0,91807000000.0,98667000000.0,109106000000.0,98959000000.0,95281000000.0
OtherLiabilitiesNoncurrent(in usd),,,,,,,,,,,36074000000.0,40415000000.0,45180000000.0,50503000000.0,54490000000.0,53325000000.0,49142000000.0,49848000000.0
Liabilities(in usd),,,,,,,,,,,193437000000.0,241272000000.0,258578000000.0,248028000000.0,258549000000.0,287912000000.0,302083000000.0,290437000000.0
CommitmentsAndContingencies(in usd),,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CommonStocksIncludingAdditionalPaidInCapital(in usd),,,,,,,,,,,31251000000.0,35867000000.0,40201000000.0,45174000000.0,50779000000.0,57365000000.0,64849000000.0,73812000000.0
RetainedEarningsAccumulatedDeficit(in usd),,,,,,,,,,,96364000000.0,98330000000.0,70400000000.0,45898000000.0,14966000000.0,5562000000.0,-3068000000.0,-214000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax(in usd),,,,,,,,,,,634000000.0,-150000000.0,-3454000000.0,-584000000.0,-406000000.0,163000000.0,-11109000000.0,-11452000000.0
StockholdersEquity(in usd),,,,,,,,,,,128249000000.0,134047000000.0,107147000000.0,90488000000.0,65339000000.0,63090000000.0,50672000000.0,62146000000.0
LiabilitiesAndStockholdersEquity(in usd),,,,,,,,,,,321686000000.0,375319000000.0,365725000000.0,338516000000.0,323888000000.0,351002000000.0,352755000000.0,352583000000.0
AssetsNoncurrent(in usd),,,,,,,,,,,,,234386000000.0,175697000000.0,180175000000.0,216166000000.0,217350000000.0,209017000000.0
OtherLiabilitiesCurrent(in usd),,,,,,,,,,,,,32687000000.0,37720000000.0,42684000000.0,47493000000.0,60845000000.0,58829000000.0
LiabilitiesNoncurrent(in usd),,,,,,,,,,,,,141712000000.0,142310000000.0,153157000000.0,162431000000.0,148101000000.0,145129000000.0
MarketableSecuritiesCurrent(in usd),,,,,,,,,,,,,,51713000000.0,52927000000.0,27699000000.0,24658000000.0,31590000000.0
MarketableSecuritiesNoncurrent(in usd),,,,,,,,,,,,,,105341000000.0,100887000000.0,127877000000.0,120805000000.0,100544000000.0
ContractWithCustomerLiabilityCurrent(in usd),,,,,,,,,,,,,,5522000000.0,6643000000.0,7612000000.0,7912000000.0,8061000000.0
CommonStockSharesOutstanding(in shares),,,,,,,,,,,,,,,,,,15550061000.0
CommonStockSharesIssued(in shares),,,,,,,,,,,,,,,,,,15550061000.0
